source,date,field,value
whoop,2020-02-21,whoop_strain_maxhr,191
whoop,2020-02-21,whoop_strain_score,13.5415914420405
whoop,2020-02-21,whoop_workout_count,1
whoop,2020-02-21,whoop_strain_avghr,92
whoop,2020-02-21,whoop_strain_calories,1136.0707456978967
whoop,2020-02-21,whoop_workout_duration,30.766666666666666
whoop,2020-02-22,whoop_strain_avghr,79
whoop,2020-02-22,whoop_sleep_awake_percent,14.661000000000001
whoop,2020-02-22,whoop_sleep_disturbances_per_hour,0.9182578520520439
whoop,2020-02-22,whoop_sleep_duration_deep_percent,32.50904901429812
whoop,2020-02-22,whoop_sleep_duration_rem_percent,33.038480160920244
whoop,2020-02-22,whoop_strain_maxhr,148
whoop,2020-02-22,whoop_recovery_rhr,65
whoop,2020-02-22,whoop_recovery_hrv,47.6015
whoop,2020-02-22,whoop_sleep_duration_light,2.2271750000000003
whoop,2020-02-22,whoop_sleep_start_standardized,-0.11666666666666714
whoop,2020-02-22,whoop_sleep_duration_awake,1.1665402777777778
whoop,2020-02-22,whoop_workout_count,2
whoop,2020-02-22,whoop_sleep_duration_total_inbed,7.623131111111111
whoop,2020-02-22,whoop_sleep_duration_deep,2.101542777777778
whoop,2020-02-22,whoop_sleep_disturbances,7
whoop,2020-02-22,whoop_sleep_duration_light_percent,34.45247082478162
whoop,2020-02-22,whoop_workout_duration,80.0
whoop,2020-02-22,whoop_strain_score,8.38791215033761
whoop,2020-02-22,whoop_sleep_cycles,6
whoop,2020-02-22,whoop_sleep_duration_rem,2.1357677777777777
whoop,2020-02-22,whoop_sleep_asleep_percent,85.339
whoop,2020-02-22,whoop_sleep_duration_total_asleep,6.464485555555556
whoop,2020-02-22,whoop_sleep_respiratory_rate,12.6562
whoop,2020-02-22,whoop_sleep_latency,2.8839166666666665
whoop,2020-02-22,whoop_recovery_score,40
whoop,2020-02-22,whoop_sleep_score_total,75
whoop,2020-02-22,whoop_strain_calories,2052.9780114722753
whoop,2020-02-22,whoop_sleep_end_standardized,7.5
whoop,2020-02-23,whoop_strain_calories,1731.7973231357553
whoop,2020-02-23,whoop_sleep_disturbances,9
whoop,2020-02-23,whoop_sleep_duration_rem,2.679325
whoop,2020-02-23,whoop_sleep_disturbances_per_hour,1.1868533137585566
whoop,2020-02-23,whoop_recovery_hrv,52.4784
whoop,2020-02-23,whoop_sleep_cycles,6
whoop,2020-02-23,whoop_sleep_awake_percent,10.7774
whoop,2020-02-23,whoop_sleep_score_total,78
whoop,2020-02-23,whoop_strain_avghr,73
whoop,2020-02-23,whoop_strain_maxhr,126
whoop,2020-02-23,whoop_sleep_start_standardized,-1.1333333333333329
whoop,2020-02-23,whoop_sleep_duration_total_asleep,6.765815000000001
whoop,2020-02-23,whoop_strain_score,5.04390572560783
whoop,2020-02-23,whoop_sleep_duration_deep,1.8354958333333333
whoop,2020-02-23,whoop_sleep_duration_light,2.2509941666666666
whoop,2020-02-23,whoop_sleep_duration_light_percent,33.27011109033674
whoop,2020-02-23,whoop_sleep_end_standardized,6.45
whoop,2020-02-23,whoop_sleep_duration_total_inbed,7.583076944444445
whoop,2020-02-23,whoop_sleep_duration_rem_percent,39.60092021434225
whoop,2020-02-23,whoop_sleep_latency,0.0
whoop,2020-02-23,whoop_sleep_respiratory_rate,12.5684
whoop,2020-02-23,whoop_sleep_asleep_percent,89.2226
whoop,2020-02-23,whoop_sleep_duration_awake,0.8259044444444444
whoop,2020-02-23,whoop_recovery_rhr,61
whoop,2020-02-23,whoop_recovery_score,44
whoop,2020-02-23,whoop_sleep_duration_deep_percent,27.12896869532101
whoop,2020-02-24,whoop_recovery_rhr,63
whoop,2020-02-24,whoop_workout_duration,53.166666666666664
whoop,2020-02-24,whoop_sleep_disturbances_per_hour,1.0063890529152175
whoop,2020-02-24,whoop_strain_avghr,77
whoop,2020-02-24,whoop_sleep_asleep_percent,83.36919999999999
whoop,2020-02-24,whoop_recovery_score,39
whoop,2020-02-24,whoop_strain_score,8.56535144525056
whoop,2020-02-24,whoop_sleep_duration_light_percent,47.335970727838664
whoop,2020-02-24,whoop_sleep_duration_deep,1.6349869444444447
whoop,2020-02-24,whoop_sleep_duration_total_inbed,6.9555605555555555
whoop,2020-02-24,whoop_sleep_end_standardized,3.4333333333333336
whoop,2020-02-24,whoop_workout_count,1
whoop,2020-02-24,whoop_recovery_hrv,49.3373
whoop,2020-02-24,whoop_sleep_respiratory_rate,12.5098
whoop,2020-02-24,whoop_strain_maxhr,180
whoop,2020-02-24,whoop_sleep_duration_awake,1.3079772222222223
whoop,2020-02-24,whoop_sleep_duration_rem,1.3432705555555557
whoop,2020-02-24,whoop_sleep_awake_percent,16.630800000000008
whoop,2020-02-24,whoop_sleep_score_total,65
whoop,2020-02-24,whoop_sleep_duration_rem_percent,23.752828577854736
whoop,2020-02-24,whoop_sleep_cycles,6
whoop,2020-02-24,whoop_sleep_latency,10.334016666666667
whoop,2020-02-24,whoop_sleep_start_standardized,-3.5166666666666657
whoop,2020-02-24,whoop_sleep_disturbances,7
whoop,2020-02-24,whoop_strain_calories,2181.061185468451
whoop,2020-02-24,whoop_sleep_duration_light,2.6769450000000004
whoop,2020-02-24,whoop_sleep_duration_deep_percent,28.911200694306604
whoop,2020-02-24,whoop_sleep_duration_total_asleep,5.6552025
whoop,2020-02-25,whoop_sleep_duration_deep_percent,29.953786264494468
whoop,2020-02-25,whoop_sleep_duration_deep,1.5766975
whoop,2020-02-25,whoop_sleep_latency,1.9225999999999999
whoop,2020-02-25,whoop_sleep_score_total,58
whoop,2020-02-25,whoop_sleep_disturbances_per_hour,0.677169725867117
whoop,2020-02-25,whoop_sleep_duration_light_percent,36.292840768184554
whoop,2020-02-25,whoop_sleep_score_consistency,59
whoop,2020-02-25,whoop_sleep_duration_total_asleep,5.263766944444445
whoop,2020-02-25,whoop_sleep_asleep_percent,89.5976
whoop,2020-02-25,whoop_sleep_end_standardized,3.0166666666666666
whoop,2020-02-25,whoop_sleep_awake_percent,10.4024
whoop,2020-02-25,whoop_sleep_duration_rem,1.7766988888888888
whoop,2020-02-25,whoop_recovery_hrv,70.2812
whoop,2020-02-25,whoop_strain_score,9.95694014794076
whoop,2020-02-25,whoop_workout_count,1
whoop,2020-02-25,whoop_strain_maxhr,178
whoop,2020-02-25,whoop_recovery_rhr,60
whoop,2020-02-25,whoop_sleep_duration_awake,0.6491616666666666
whoop,2020-02-25,whoop_workout_duration,57.61666666666667
